Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,48.290001,48.900002,47.660000,48.189999,46.612778,1677600
2020-05-11,48.000000,48.509998,46.869999,46.869999,45.335983,2086400
2020-05-12,47.070000,48.419998,46.599998,46.599998,45.074821,3329900
2020-05-13,47.000000,47.500000,46.610001,46.840000,45.306965,3064700
2020-05-14,46.549999,47.470001,46.099998,46.980000,45.442383,3584300
2020-05-15,47.259998,47.259998,45.700001,45.900002,44.397732,2775900
2020-05-18,47.150002,47.950001,46.110001,47.750000,46.187183,2301600
2020-05-19,47.740002,47.799999,46.560001,46.560001,45.036129,2097200
2020-05-20,47.049999,47.560001,46.560001,46.950001,45.413364,1939200
2020-05-21,46.900002,47.650002,46.900002,47.590000,46.032421,2570000
2020-05-22,47.470001,47.599998,46.560001,46.939999,45.403690,2350800
2020-05-25,47.790001,48.759998,47.500000,48.400002,46.815907,1836100
2020-05-26,48.810001,49.650002,48.669998,49.000000,47.396271,2976000
2020-05-27,49.400002,49.930000,48.369999,48.720001,47.125435,2980000
2020-05-28,48.660000,48.740002,47.919998,48.240002,46.661144,1866700
2020-05-29,47.389999,47.529999,46.389999,47.139999,46.600380,4824900
2020-06-01,47.200001,47.509998,46.740002,47.400002,46.857403,2299500
2020-06-02,47.520000,48.119999,47.340000,48.040001,47.490078,3724500
2020-06-03,48.250000,48.599998,47.150002,47.250000,46.709122,5102900
2020-06-04,47.250000,47.810001,46.810001,47.299999,46.758549,4658500
2020-06-05,48.439999,48.439999,47.450001,47.770000,47.223167,5993900
2020-06-08,47.959999,48.930000,47.720001,48.540001,47.984356,2318000
2020-06-09,48.200001,49.000000,47.869999,49.000000,48.439087,3308500
2020-06-10,49.020000,50.450001,49.020000,49.590000,49.022335,3118700
2020-06-12,48.310001,49.830002,48.000000,49.830002,49.259590,4488800
2020-06-15,49.490002,49.490002,48.480000,48.480000,47.925041,3144800
2020-06-16,49.250000,50.250000,49.080002,49.500000,48.933365,2625800
2020-06-17,49.700001,50.270000,49.259998,49.700001,49.131077,3819200
2020-06-18,49.700001,51.150002,49.299999,50.500000,49.921917,2850300
2020-06-19,51.000000,51.290001,49.799999,50.400002,49.823063,4755700
2020-06-22,50.139999,50.419998,49.700001,49.700001,49.131077,1478600
2020-06-23,50.099998,50.099998,49.000000,49.220001,48.656570,1987600
2020-06-24,49.000000,49.250000,48.270000,48.820000,48.261147,2203500
2020-06-25,48.950001,49.700001,48.680000,49.310001,48.745541,2272500
2020-06-26,49.279999,49.580002,48.320000,48.540001,47.984356,1685100
2020-06-29,48.610001,48.910000,48.110001,48.200001,47.648247,2218400
2020-06-30,48.189999,48.849998,47.730000,48.029999,47.480190,2889700
2020-07-01,47.889999,48.990002,47.790001,48.080002,48.080002,2541000
2020-07-02,0.000000,0.000000,0.000000,48.049999,48.049999,0
